baseDate,baseTime,category,nx,ny,obsrValue
20210701,0000,PTY,102,83,0
20210701,0000,REH,102,83,85
20210701,0000,RN1,102,83,0
20210701,0000,T1H,102,83,22
20210701,0000,UUU,102,83,0.5
20210701,0000,VEC,102,83,348
20210701,0000,VVV,102,83,-2.1
20210701,0000,WSD,102,83,2.2
20210701,0100,PTY,102,83,0
20210701,0100,REH,102,83,84
20210701,0100,RN1,102,83,0
20210701,0100,T1H,102,83,21.6
20210701,0100,UUU,102,83,1.2
20210701,0100,VEC,102,83,332
20210701,0100,VVV,102,83,-2.1
20210701,0100,WSD,102,83,2.5
20210701,0200,PTY,102,83,0
20210701,0200,REH,102,83,84
20210701,0200,RN1,102,83,0
20210701,0200,T1H,102,83,21.4
20210701,0200,UUU,102,83,1.2
20210701,0200,VEC,102,83,333
20210701,0200,VVV,102,83,-2.3
20210701,0200,WSD,102,83,2.7
20210701,0300,PTY,102,83,0
20210701,0300,REH,102,83,83
20210701,0300,RN1,102,83,0
20210701,0300,T1H,102,83,21.5
20210701,0300,UUU,102,83,1
20210701,0300,VEC,102,83,340
20210701,0300,VVV,102,83,-2.5
20210701,0300,WSD,102,83,2.8
20210701,0400,PTY,102,83,0
20210701,0400,REH,102,83,82
20210701,0400,RN1,102,83,0
20210701,0400,T1H,102,83,22
20210701,0400,UUU,102,83,0.2
20210701,0400,VEC,102,83,348
20210701,0400,VVV,102,83,-0.9
20210701,0400,WSD,102,83,1
20210701,0500,PTY,102,83,0
20210701,0500,REH,102,83,78
20210701,0500,RN1,102,83,0
20210701,0500,T1H,102,83,22.5
20210701,0500,UUU,102,83,0.4
20210701,0500,VEC,102,83,349
20210701,0500,VVV,102,83,-2
20210701,0500,WSD,102,83,2.1
20210701,0600,PTY,102,83,0
20210701,0600,REH,102,83,74
20210701,0600,RN1,102,83,0
20210701,0600,T1H,102,83,23.5
20210701,0600,UUU,102,83,0.8
20210701,0600,VEC,102,83,343
20210701,0600,VVV,102,83,-2.5
20210701,0600,WSD,102,83,2.7
20210701,0700,PTY,102,83,0
20210701,0700,REH,102,83,69
20210701,0700,RN1,102,83,0
20210701,0700,T1H,102,83,24.8
20210701,0700,UUU,102,83,0.4
20210701,0700,VEC,102,83,351
20210701,0700,VVV,102,83,-2.3
20210701,0700,WSD,102,83,2.4
20210701,0800,PTY,102,83,0
20210701,0800,REH,102,83,70
20210701,0800,RN1,102,83,0
20210701,0800,T1H,102,83,24.9
20210701,0800,UUU,102,83,-2.5
20210701,0800,VEC,102,83,53
20210701,0800,VVV,102,83,-1.8
20210701,0800,WSD,102,83,3.2
20210701,0900,PTY,102,83,0
20210701,0900,REH,102,83,61
20210701,0900,RN1,102,83,0
20210701,0900,T1H,102,83,26.8
20210701,0900,UUU,102,83,-1.9
20210701,0900,VEC,102,83,46
20210701,0900,VVV,102,83,-1.8
20210701,0900,WSD,102,83,2.8
20210701,1000,PTY,102,83,0
20210701,1000,REH,102,83,62
20210701,1000,RN1,102,83,0
20210701,1000,T1H,102,83,27.4
20210701,1000,UUU,102,83,-1.8
20210701,1000,VEC,102,83,44
20210701,1000,VVV,102,83,-1.9
20210701,1000,WSD,102,83,2.7
20210701,1100,PTY,102,83,0
20210701,1100,REH,102,83,62
20210701,1100,RN1,102,83,0
20210701,1100,T1H,102,83,28.1
20210701,1100,UUU,102,83,-2.3
20210701,1100,VEC,102,83,49
20210701,1100,VVV,102,83,-2
20210701,1100,WSD,102,83,3.2
20210701,1200,PTY,102,83,0
20210701,1200,REH,102,83,60
20210701,1200,RN1,102,83,0
20210701,1200,T1H,102,83,28.8
20210701,1200,UUU,102,83,-2.4
20210701,1200,VEC,102,83,49
20210701,1200,VVV,102,83,-2.1
20210701,1200,WSD,102,83,3.3
20210701,1300,PTY,102,83,0
20210701,1300,REH,102,83,58
20210701,1300,RN1,102,83,0
20210701,1300,T1H,102,83,29.8
20210701,1300,UUU,102,83,-1.7
20210701,1300,VEC,102,83,44
20210701,1300,VVV,102,83,-1.8
20210701,1300,WSD,102,83,2.6
20210701,1400,PTY,102,83,0
20210701,1400,REH,102,83,63
20210701,1400,RN1,102,83,0
20210701,1400,T1H,102,83,27.8
20210701,1400,UUU,102,83,-4.7
20210701,1400,VEC,102,83,61
20210701,1400,VVV,102,83,-2.5
20210701,1400,WSD,102,83,5.5
20210701,1500,PTY,102,83,0
20210701,1500,REH,102,83,67
20210701,1500,RN1,102,83,0
20210701,1500,T1H,102,83,26.7
20210701,1500,UUU,102,83,-4.5
20210701,1500,VEC,102,83,54
20210701,1500,VVV,102,83,-3.3
20210701,1500,WSD,102,83,5.7
20210701,1600,PTY,102,83,0
20210701,1600,REH,102,83,66
20210701,1600,RN1,102,83,0
20210701,1600,T1H,102,83,26
20210701,1600,UUU,102,83,-3.3
20210701,1600,VEC,102,83,50
20210701,1600,VVV,102,83,-2.7
20210701,1600,WSD,102,83,4.4
20210701,1700,PTY,102,83,0
20210701,1700,REH,102,83,57
20210701,1700,RN1,102,83,0
20210701,1700,T1H,102,83,25.7
20210701,1700,UUU,102,83,-1.4
20210701,1700,VEC,102,83,36
20210701,1700,VVV,102,83,-2
20210701,1700,WSD,102,83,2.6
20210701,1800,PTY,102,83,0
20210701,1800,REH,102,83,74
20210701,1800,RN1,102,83,0
20210701,1800,T1H,102,83,24.2
20210701,1800,UUU,102,83,-2.2
20210701,1800,VEC,102,83,45
20210701,1800,VVV,102,83,-2.2
20210701,1800,WSD,102,83,3.3
20210701,1900,PTY,102,83,0
20210701,1900,REH,102,83,79
20210701,1900,RN1,102,83,0
20210701,1900,T1H,102,83,23.8
20210701,1900,UUU,102,83,-1.3
20210701,1900,VEC,102,83,35
20210701,1900,VVV,102,83,-1.9
20210701,1900,WSD,102,83,2.4
20210701,2000,PTY,102,83,0
20210701,2000,REH,102,83,78
20210701,2000,RN1,102,83,0
20210701,2000,T1H,102,83,23.6
20210701,2000,UUU,102,83,-0.6
20210701,2000,VEC,102,83,18
20210701,2000,VVV,102,83,-1.9
20210701,2000,WSD,102,83,2.1
20210701,2100,PTY,102,83,0
20210701,2100,REH,102,83,78
20210701,2100,RN1,102,83,0
20210701,2100,T1H,102,83,23.4
20210701,2100,UUU,102,83,0.1
20210701,2100,VEC,102,83,359
20210701,2100,VVV,102,83,-2.8
20210701,2100,WSD,102,83,2.9
20210701,2200,PTY,102,83,0
20210701,2200,REH,102,83,79
20210701,2200,RN1,102,83,0
20210701,2200,T1H,102,83,23.1
20210701,2200,UUU,102,83,0
20210701,2200,VEC,102,83,0
20210701,2200,VVV,102,83,-2.9
20210701,2200,WSD,102,83,3
20210701,2300,PTY,102,83,0
20210701,2300,REH,102,83,79
20210701,2300,RN1,102,83,0
20210701,2300,T1H,102,83,23.2
20210701,2300,UUU,102,83,0
20210701,2300,VEC,102,83,2
20210701,2300,VVV,102,83,-2.8
20210701,2300,WSD,102,83,2.9
